0.54	64	49.75	237.65
0.94	200	98	129.5
1.22	86	98.2	158.64
0.54	200	69.33	105.75
1.22	200	61.47	123.07
1.22	50	82	272.91
1.21	200	49.4	131.21
0.78	200	49.75	73.62
1.21	115	49.5	178.74
0.49	185	67.55	68.24
0.65	50	97.6	125.07
0.52	50	97.05	106.65
1.22	50	82	224.6
0.55	200	98.6	18.41
1.22	200	98.15	127.52
0.76	200	99.2	44.82
0.59	85	51	87.79
1.12	72	53.25	148.62
0.48	50	49.8	91.41
0.5	200	95.05	99.74
1.2	58	82	277.24
0.66	200	49.65	222.89
0.54	50	61.45	250.95
1.22	200	97.38	222.84
